Date,rain,snow,accum,temp,humidity,cloud,app_temperature
2012-12-15 08:00:00,0.0,0.0,0.0,5.95,0.89,0.08,5.95
2012-12-15 09:00:00,0.0,0.0,0.0,5.66,0.92,0.09,5.66
2012-12-15 10:00:00,0.0,0.0,0.0,5.46,0.91,0.09,5.46
2012-12-15 11:00:00,0.0,0.0,0.0,4.82,0.92,0.06,4.82
2012-12-15 12:00:00,0.0,0.0,0.0,4.61,0.93,0.03,4.61
2012-12-15 13:00:00,0.0,0.0,0.0,4.43,0.93,0.03,3.42
2012-12-15 14:00:00,0.0,0.0,0.0,4.14,0.93,0.06,4.14
2012-12-15 15:00:00,0.0,0.0,0.0,3.64,0.94,0.43,1.07
2012-12-15 16:00:00,0.0,0.0,0.0,4.24,0.92,0.54,4.24
2012-12-15 17:00:00,0.0,0.0,0.0,6.02,0.85,0.89,5.19
2012-12-15 18:00:00,0.0,0.0,0.0,7.26,0.82,0.82,5.12
2012-12-15 19:00:00,0.0,0.0,0.0,8.51,0.77,0.7,6.47
2012-12-15 20:00:00,0.0,0.0,0.0,9.02,0.77,0.88,7.06
2012-12-15 21:00:00,0.066,0.0,0.0,9.49,0.74,1.0,7.84
2012-12-15 22:00:00,0.9068,0.0,0.0,8.63,0.86,0.99,6.78
2012-12-15 23:00:00,1.3132,0.0,0.0,8.53,0.9,0.97,6.37
2012-12-16 00:00:00,0.5385,0.0,0.0,8.72,0.9,1.0,6.47
2012-12-16 01:00:00,0.4445,0.0,0.0,8.16,0.92,1.0,5.66
2012-12-16 02:00:00,0.1092,0.0,0.0,8.38,0.89,1.0,6.08
2012-12-16 03:00:00,0.0203,0.0,0.0,8.52,0.86,0.99,6.11
2012-12-16 04:00:00,0.0,0.0,0.0,8.61,0.81,1.0,6.17
2012-12-16 05:00:00,0.0,0.0,0.0,8.84,0.79,1.0,6.56
2012-12-16 06:00:00,0.0,0.0,0.0,8.88,0.77,1.0,7.32
2012-12-16 07:00:00,0.0,0.0,0.0,8.92,0.78,1.0,8.2
2012-12-16 08:00:00,0.0,0.0,0.0,8.87,0.81,1.0,8.47
2012-12-16 09:00:00,0.0,0.0,0.0,8.49,0.84,1.0,7.82
2012-12-16 10:00:00,0.0,0.0,0.0,8.51,0.83,0.94,7.72
2012-12-16 11:00:00,0.0,0.0,0.0,8.37,0.82,0.94,7.52
2012-12-16 12:00:00,0.0,0.0,0.0,8.58,0.84,1.0,8.58
2012-12-16 13:00:00,0.0,0.0,0.0,8.42,0.83,1.0,8.42
2012-12-16 14:00:00,0.0,0.0,0.0,8.42,0.88,1.0,8.42
2012-12-16 15:00:00,0.0,0.0,0.0,8.16,0.92,0.95,8.16
2012-12-16 16:00:00,0.0,0.0,0.0,8.07,0.93,0.75,8.07
2012-12-16 17:00:00,0.0,0.0,0.0,9.44,0.84,0.67,9.44
2012-12-16 18:00:00,0.0,0.0,0.0,10.22,0.8,0.84,10.22
2012-12-16 19:00:00,0.0,0.0,0.0,11.37,0.75,0.81,11.37
2012-12-16 20:00:00,0.0,0.0,0.0,12.44,0.73,0.87,12.44
2012-12-16 21:00:00,0.0,0.0,0.0,12.97,0.72,1.0,12.97
2012-12-16 22:00:00,0.0,0.0,0.0,12.93,0.77,1.0,12.93
2012-12-16 23:00:00,0.0,0.0,0.0,13.27,0.73,1.0,13.27
2012-12-17 00:00:00,0.0,0.0,0.0,13.36,0.76,1.0,13.36
2012-12-17 01:00:00,0.0,0.0,0.0,13.53,0.77,1.0,13.53
2012-12-17 02:00:00,0.0254,0.0,0.0,13.33,0.79,0.98,13.33
2012-12-17 03:00:00,0.061,0.0,0.0,13.48,0.8,0.99,13.48
2012-12-17 04:00:00,0.0711,0.0,0.0,13.51,0.82,1.0,13.51
2012-12-17 05:00:00,0.0,0.0,0.0,13.61,0.82,1.0,13.61
2012-12-17 06:00:00,0.0,0.0,0.0,13.52,0.81,0.98,13.52
2012-12-17 07:00:00,0.0,0.0,0.0,13.26,0.79,0.9,13.26
2012-12-17 08:00:00,0.0,0.0,0.0,13.32,0.79,1.0,13.32
2012-12-17 09:00:00,0.0533,0.0,0.0,13.22,0.77,1.0,13.22
2012-12-17 10:00:00,0.1397,0.0,0.0,12.98,0.82,0.94,12.98
2012-12-17 11:00:00,0.2413,0.0,0.0,12.93,0.84,0.97,12.93
2012-12-17 12:00:00,0.188,0.0,0.0,12.59,0.89,0.97,12.59
2012-12-17 13:00:00,0.1753,0.0,0.0,12.54,0.88,1.0,12.54
2012-12-17 14:00:00,0.2642,0.0,0.0,12.33,0.9,1.0,12.33
2012-12-17 15:00:00,0.3683,0.0,0.0,12.41,0.93,1.0,12.41
2012-12-17 16:00:00,0.5461,0.0,0.0,12.66,0.94,1.0,12.66
2012-12-17 17:00:00,0.6706,0.0,0.0,12.62,0.94,1.0,12.62
